variable,type,comprehension,join,explanation,criteria,,
os_required,comma-seperated list,,,"These tag keys are assumed to be present on OSM features in order to evaluate values (null or otherwise); if they don't exist, they are created with null values when setting up OSM data","beach,river,water,waterway,wetland,access,leisure,natural,sport,landuse,playground,boundary,recreation_ground,golf,military,agricultural,forestry,tourism,shop,supermarket,amenity,building,community_centre,place_of_worship,tourism,cuisine,gambling,place,highway,swimming_pool,garden:type",,
os_inclusion,comma-seperated list,p.{x}, OR ,"These are specific inclusion criteria which are to be joined as an OR query, using a specific table alias.  Hence, it is easier to autogenerate this SQL snippet than write it out.  I omitted natural is not null, and sport is not null as these seem to return too many false positives when trying to identify those open spaces which might be public.","leisure IS NOT NULL,beach IS NOT NULL,place  =  'square',highway = 'pedestrian'",,
os_landuse,comma-seperated list,'{x}',",","These tags are to be joined in a comma seperated list, once they have been enclosed in single quotation marks.   I omitted 'pitch' (which are private basketball courts in some places, e.g. Sao Paulo), and blue space tags (e.g. river) which are not relevant for this project.  Note that while wood is included here, it is marked as being not public below (as there are many places tagged as natural=wood on OSM which would not be thought of as public open space)","common,conservation,forest,garden,leisure,park,recreation_ground,sport,trees,village_green,winter_sports,wood,dog_park,nature_reserve,off_leash,sports_centre,riverbank,beach",,
os_boundary,comma-seperated list,'{x}',",","These tags are to be joined in a comma seperated list, once they have been enclosed in single quotation marks","national_park,nature_reserve,forest,state_forest,state_park,regional_park,park,county_park",,
os_excluded_keys,comma-seperated list,"""{x}"" IS NOT NULL", OR ,"Tags are joined using OR logic, and are used to define exclusion criteria where values are not null","military,agricultural,forestry",,
os_excluded_values,json,"""{0}"" IN {1}", OR ,"Where the keys in this json snippet are found to have values in their associated lists, these are grounds for exclusion.  This snippet is used to format exclusion criteria using OR logic.","{""access"":[""employee"",""no"",""private"",""privates"",""staff""],""landuse"":[""military"",""industrial""]}",,
os_water,comma-seperated list,'{x}',",","These tags are to be joined in a comma seperated list, once they have been enclosed in single quotation marks  Beach and riverbank are omitted here, but otherwise these value tags indicate areas of blue space which will be excluded when determining both access and size of parks.  The limitation of this is, that it won't count a lake in a park as contributing to the size of the park if the containing park polygon has a hole cut in it where the lake would be.  However, the laternative could lead to misclassification of public open space (e.g. inclusion of rivers etc).  This is evaluated against keys of natural, landuse, and leisure.","atoll,awash_rock,bay,coastal,coastline,coastline_old,glacier,high-water,hot_spring,island,islet,lake,marsh,oasis,old_coastline_import,peninsula,pond,river,river_terrace,riverbank,riverbed,shoal,spring,strait,stream,swamp,swimming_pool,underwater_rock,unprotected_spring,unprotected_well,water,water_park,waterfall,waterhole,waterway,wetland",,
os_water_sports,comma-seperated list,'{x}',",","These tags are to be joined in a comma seperated list, once they have been enclosed in single quotation marks. These tags are indicative of water features which will be excluded from consideration.","swimming,surfing,canoe,scuba_diving,rowing,sailing,fishing,water_ski,water_sports,diving,windsurfing,canoeing,kayak",,
os_linear,comma-seperated list,'{x}',",","These tags are to be joined in a comma seperated list, once they have been enclosed in single quotation marks.  These are linear features which may or may not be public open space, but need to be treated with care so they don't link together to form large areas of open space","river,riverbank,riverbed,strait,waterway,stream,ditch,river,drain,canal,rapids,drystream,brook,derelict_canal,fairway",,
linear_feature_criteria,string,,,This is an SQL expression for used to define a linear feature based on morphological or attribute criteria.,( area_ha > 0.5 AND roundness < 0.25) OR ( waterway IS NOT NULL OR river IS NOT NULL ),,
identifying_tags_to_exclude_other_than_%name%,comma-seperated list,'{x}',",","These tags are to be joined in a comma seperated list, once they have been enclosed in single quotation marks","addr:city,addr:full,addr:place,addr:postcode,addr:province,addr:street,website,wikipedia,description,addr:housenumber,addr:interpolation,designation,email,phone,ref:capad2014_osm,nswlpi:cadid,wikidata,url",,
os_add_as_tags,comma-seperated list,,",",Keys to be joined in a comma seperated list (already in double quotation marks),"""os_id"",""area_ha"",""beach"",""river"",""public_access"",""within_public"",""amenity"",""access"",""boundary"",""golf"",""landuse"",""leisure"",""natural"",""playground"",""recreation_ground"",""sport"",""tourism"",""water"",""wetland"",""waterway"",""wood"",""water_feature"",""min_bounding_circle_area"",""min_bounding_circle_diameter"",""roundness"",""linear_feature"",""acceptable_linear_feature"",""highway"",""place""",,
